Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3275,137,10,67,11,1355,236,236,131,3240,WA2,ST23,2
3306,83,25,450,79,1650,245,188,57,2789,WA1,ST39,1
2742,220,7,120,17,1383,212,247,171,2132,WA1,ST12,1
2904,0,8,277,89,2329,209,226,155,618,WA3,ST31,2
2978,0,12,256,-3,4350,202,217,152,3542,WA1,ST29,1
2776,344,34,212,67,1221,135,168,159,1761,WA3,ST24,2
2746,135,5,30,3,1766,227,238,144,2613,WA1,ST12,2
3410,98,16,306,172,3866,244,216,96,3448,WA3,ST39,7
2966,36,2,120,10,1099,219,234,152,175,WA3,ST32,2
3160,45,7,42,-5,1554,222,224,137,484,WA3,ST32,1
2899,232,3,384,31,1095,215,242,164,469,WA3,ST32,2
3001,57,16,417,8,3830,229,203,102,4764,WA1,ST29,2
2920,113,12,285,7,3499,240,228,117,4459,WA1,ST12,2
2962,158,12,382,50,4830,233,242,138,2782,WA1,ST30,2
3208,105,5,335,27,5716,228,234,140,2457,WA1,ST22,1
3092,277,20,30,7,3104,163,239,214,2400,WA1,ST24,1
2898,170,12,120,14,3371,229,245,147,2061,WA1,ST12,2
2819,343,19,150,45,1924,180,208,166,2825,WA1,ST29,2
2668,212,30,85,30,1832,180,251,190,1103,WA3,ST4,2
2978,225,13,552,72,5838,201,252,185,3516,WA1,ST29,2
2426,175,30,150,70,430,221,239,129,1100,WA4,ST4,3
3081,244,22,162,1,1495,171,251,213,1825,WA3,ST23,2
2718,68,5,277,27,228,225,230,139,916,WA3,ST11,5
2646,338,23,60,28,1366,163,201,173,1260,WA3,ST33,2
2801,164,23,60,11,2376,233,240,123,1611,WA1,ST30,2
3382,166,12,366,128,2208,230,244,144,618,WA3,ST38,7
2953,308,5,300,40,3789,205,237,171,4410,WA1,ST12,2
3361,200,14,430,93,3381,214,252,170,212,WA3,ST31,1
3300,353,15,503,48,4540,192,212,156,932,WA3,ST32,1
3081,8,5,30,5,750,214,230,153,1687,WA1,ST23,1
2873,166,16,295,125,1800,232,244,137,1033,WA3,ST13,2
3149,35,12,649,7,3510,219,214,129,3684,WA1,ST29,1
3252,116,6,424,8,4293,231,234,137,2380,WA1,ST22,1
2669,48,6,268,3,1266,223,227,140,1486,WA1,ST30,2
3276,111,8,85,9,4961,234,231,129,443,WA1,ST29,2
2459,315,14,180,20,228,181,228,186,1114,WA4,ST10,6
2970,299,24,361,159,4713,147,223,214,268,WA1,ST29,2
3258,206,12,277,25,2058,213,251,172,1291,WA1,ST29,2
3014,346,4,0,0,4036,212,233,159,1132,WA1,ST19,2
2959,269,13,182,30,5824,185,244,199,1409,WA1,ST29,2
3466,84,14,564,32,2617,239,215,103,1983,WA1,ST40,1
3076,291,7,576,-50,2359,201,239,177,1480,WA3,ST23,2
3369,204,11,95,-2,4292,214,250,170,3442,WA3,ST33,7
2950,315,0,228,23,1973,217,237,157,1944,WA3,ST32,2
2993,31,13,277,42,1207,216,212,129,2346,WA1,ST29,1
2761,165,11,67,4,2128,230,244,144,3034,WA1,ST12,2
2849,175,10,256,33,3144,226,245,151,2824,WA1,ST12,2
3315,338,15,467,88,1784,185,217,170,3093,WA1,ST39,1
3323,198,10,661,96,3726,217,249,166,2399,WA1,ST23,1
3146,192,10,666,-2,6189,219,248,162,1667,WA1,ST29,2
2460,14,17,42,4,324,202,202,134,1224,WA4,ST11,6
3363,70,6,631,104,1199,227,228,135,2590,WA3,ST32,1
3140,6,2,108,4,2698,216,234,155,1266,WA1,ST23,1
2942,120,12,192,29,3564,240,230,118,1584,WA1,ST30,2
3166,124,12,95,8,2620,240,231,119,700,WA3,ST23,1
2661,70,8,42,2,1991,229,225,129,1832,WA3,ST10,6
3111,338,17,150,10,3878,180,213,171,968,WA3,ST22,1
3087,341,9,30,8,778,201,226,165,1771,WA1,ST23,2
2821,301,4,0,0,4490,208,238,168,4841,WA1,ST16,2
3064,209,26,162,56,828,191,253,184,576,WA3,ST24,2
1976,72,36,60,36,67,233,148,14,335,WA4,ST1,3
3163,24,17,242,35,1627,209,202,125,1884,WA3,ST33,2
3147,158,9,268,15,309,231,242,143,4954,WA2,ST22,2
2560,73,18,85,12,1500,238,203,91,618,WA3,ST11,2
3047,336,18,510,7,4986,177,212,173,402,WA1,ST29,2
3047,101,11,228,16,607,238,226,117,1237,WA1,ST22,1
2049,323,34,95,45,162,117,184,196,600,WA4,ST10,3
2653,226,31,42,21,726,161,250,209,1443,WA3,ST13,2
2192,325,13,85,12,1134,186,225,178,1176,WA4,ST10,3
3285,90,8,371,119,1622,233,227,127,1583,WA1,ST29,2
2487,28,20,30,13,752,208,192,113,1600,WA3,ST31,2
3212,331,13,67,11,1358,189,223,174,469,WA3,ST23,1
2578,350,18,190,37,618,185,207,158,1894,WA1,ST30,2
2993,305,18,228,54,1527,169,228,198,3290,WA1,ST22,1
3125,69,10,108,17,1443,231,221,122,424,WA3,ST32,2
2940,126,8,192,41,3263,234,235,132,1871,WA1,ST29,2
