Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2862,120,8,60,7,1499,234,234,131,1425,WA1,ST29,1
2048,338,28,218,61,566,147,188,172,603,WA4,ST10,6
2339,323,28,85,37,212,137,197,194,218,WA4,ST10,3
2974,32,6,404,50,3723,219,226,144,1583,WA1,ST29,2
2697,173,16,30,-6,767,228,246,145,700,WA3,ST3,2
3111,42,22,720,51,1538,218,187,94,2248,WA3,ST33,1
2838,197,21,120,57,1776,210,252,168,1348,WA3,ST33,2
3298,335,13,192,65,3004,189,221,171,2455,WA3,ST24,1
3253,98,13,124,20,1959,240,222,110,1421,WA1,ST23,7
2955,207,4,484,128,4869,217,244,163,5116,WA1,ST12,1
2731,328,10,256,6,1260,195,228,172,2068,WA1,ST29,2
2891,111,22,351,133,1577,251,211,77,1678,WA3,ST13,2
3285,50,11,85,30,5823,225,216,124,573,WA1,ST38,1
3170,346,23,335,49,2639,170,198,162,2732,WA1,ST29,1
3004,304,10,210,34,361,192,235,183,295,WA2,ST22,1
3142,266,8,466,73,272,201,243,182,1377,WA1,ST22,2
2936,252,10,379,36,5493,199,247,187,4719,WA1,ST29,2
2548,34,11,0,0,2125,219,217,133,2184,WA3,ST10,1
2945,328,13,283,43,3112,188,224,175,1575,WA3,ST24,1
2768,137,19,323,121,2254,246,229,104,2255,WA3,ST4,3
3221,115,10,180,67,1333,237,231,123,1894,WA1,ST29,1
3002,55,10,306,25,4707,226,220,127,3556,WA1,ST29,2
2820,266,8,0,0,2281,201,243,182,2056,WA3,ST22,1
2845,269,20,458,126,376,164,243,216,1902,WA3,ST10,2
2963,176,20,60,21,1598,226,246,143,2274,WA3,ST33,1
2955,159,6,525,42,3951,226,241,149,4448,WA1,ST12,2
2751,108,5,242,18,2504,229,234,138,5648,WA1,ST12,2
3018,45,12,481,46,5464,223,213,122,6512,WA1,ST29,2
2784,85,20,30,-11,2093,244,202,79,1682,WA3,ST13,2
3207,164,8,872,87,3144,227,243,148,2639,WA3,ST32,2
3101,306,19,551,281,1290,163,225,201,1084,WA3,ST33,1
2496,126,16,30,1,1116,245,227,106,1492,WA3,ST4,3
3176,30,13,30,5,939,216,211,129,2491,WA1,ST23,1
3159,202,19,134,21,1074,207,253,174,4708,WA2,ST22,2
3047,33,17,362,102,1706,214,201,118,3400,WA3,ST33,1
2167,239,30,402,123,443,152,249,222,924,WA4,ST1,3
2948,6,9,30,4,3556,210,223,151,1798,WA1,ST29,2
2854,328,24,541,67,1377,155,204,185,1060,WA3,ST33,2
3152,21,7,42,2,5465,215,224,146,2102,WA1,ST23,2
3082,48,6,170,7,3227,222,227,140,999,WA1,ST29,2
2770,61,8,42,-13,150,227,223,129,1328,WA1,ST30,2
2994,128,13,108,22,2379,241,231,117,677,WA1,ST29,1
3047,158,20,120,32,589,237,239,123,1266,WA3,ST33,2
