Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2968,83,24,150,47,2347,245,190,61,2496,WA3,ST33,1
2437,312,17,256,-25,30,171,225,193,437,WA4,ST10,3
2956,166,11,153,-13,1361,229,244,145,576,WA3,ST32,2
2952,346,19,424,82,924,181,207,163,1493,WA3,ST33,2
2896,283,9,90,5,2188,196,241,184,1448,WA3,ST23,5
2968,350,12,95,16,3380,198,220,160,6312,WA1,ST29,2
3020,80,11,67,16,1415,235,220,116,1090,WA3,ST33,2
3095,0,4,631,41,2553,213,232,156,2079,WA3,ST32,2
2913,123,8,30,-3,658,234,234,132,2389,WA3,ST17,2
2780,238,35,175,90,1613,138,244,226,1560,WA3,ST4,2
3080,51,15,330,11,3486,226,207,110,4965,WA1,ST29,2
2186,341,23,402,131,484,166,200,168,451,WA4,ST10,3
2827,311,21,90,37,751,159,221,200,1129,WA3,ST23,1
2922,117,11,601,273,845,238,230,121,459,WA3,ST32,2
2783,312,6,0,0,2103,204,236,170,1571,WA1,ST23,2
2978,38,11,270,39,6015,220,216,129,3971,WA1,ST24,1
2323,307,17,323,211,787,171,227,196,108,WA4,ST6,3
2770,309,13,30,11,1722,184,231,187,2888,WA1,ST23,2
2913,19,11,324,36,4213,212,217,141,6427,WA1,ST12,2
2800,98,13,127,29,1353,240,222,110,1837,WA3,ST11,2
3181,291,21,210,73,150,155,231,214,573,WA2,ST22,1
2602,239,15,300,121,1398,191,252,196,1406,WA3,ST11,2
3351,283,9,485,83,3065,194,241,186,1921,WA1,ST39,1
2659,34,10,277,42,1873,219,218,134,2192,WA3,ST2,6
3138,333,8,433,-47,1060,201,229,168,942,WA2,ST23,1
2900,281,15,182,50,3903,177,240,203,5880,WA1,ST29,2
2757,229,33,228,116,1681,154,248,214,1254,WA3,ST4,2
2913,170,14,150,40,5188,230,245,143,4410,WA1,ST24,2
3050,132,16,569,83,1265,245,229,108,2067,WA3,ST33,2
3050,174,13,30,0,2723,227,246,148,824,WA3,ST23,1
3490,108,13,721,205,2234,241,225,111,1451,WA1,ST40,1
2612,133,11,60,0,2118,238,235,125,2244,WA3,ST11,3
3027,308,8,742,55,5734,198,235,177,6531,WA1,ST12,2
2874,92,7,324,31,3097,231,229,131,2574,WA1,ST12,2
2878,134,15,170,36,2214,242,232,116,782,WA3,ST13,5
2784,107,14,67,-7,579,243,223,106,234,WA1,ST30,5
3366,305,15,242,34,1506,178,231,193,2014,WA2,ST38,1
3047,103,9,255,29,1895,235,229,125,1595,WA1,ST30,1
3071,297,8,108,9,891,196,238,181,1812,WA2,ST24,2
3124,201,21,256,48,968,206,253,173,1442,WA1,ST29,2
3336,184,12,201,-27,2964,222,248,157,600,WA3,ST38,1
3133,168,14,162,28,895,231,245,142,1989,WA1,ST29,1
2886,299,28,182,59,1194,131,216,220,1329,WA3,ST33,1
3117,306,10,95,22,4261,192,235,183,1292,WA1,ST29,1
2760,296,8,42,2,2228,197,238,180,983,WA3,ST31,2
2064,97,20,218,107,268,248,208,80,457,WA4,ST1,3
2668,333,20,379,163,924,171,210,177,571,WA3,ST33,6
2758,88,11,108,16,690,236,222,116,2250,WA3,ST11,2
2763,357,5,330,69,1282,212,231,156,930,WA3,ST32,2
3172,153,2,300,10,4344,222,239,153,990,WA1,ST29,1
2929,214,11,228,23,5718,210,250,175,2611,WA1,ST30,2
2939,312,20,150,49,6027,162,221,197,4940,WA1,ST30,2
3151,111,18,420,76,4253,248,218,92,3373,WA1,ST29,1
